sym,t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
ES,20260513T163000Z,7465,7460,661,C,7470,1363,C,7475,2081,C,7475,7200,7095.0398,7170,7200,,7464.5
NQ,20260513T163000Z,29500,29000,353,C,28750,365,C,28600,4800,C,29500,,,26900,28300,,29442.25
SPX,20260513T133500Z,7400,7400,6665,C,7425,2921,C,7355,2440,P,7405,7300,7402.1785,5250,7500,7900,7400.96
SPY,20260513T133500Z,739,739,4585,C,738,4328,C,740,8524,C,740,700,733.9719,535,745,700,738.57
QQQ,20260513T133500Z,710,710,8753,C,708,2016,C,712,3425,C,735,700,712.1558,660,700,700,709.79
IWM,20260513T133500Z,282,282,1803,P,283,1841,C,281,2280,P,283,279,279.4105,240,272,273,282.035
AAPL,20260513T133500Z,295,295,5003,C,292.5,4812,C,297.5,2328,C,300,290,290.2839,290,290,300,294.215
MSFT,20260513T133500Z,402.5,405,1306,P,400,2531,P,407.5,787,P,420,387.5,408.5924,455,415,420,403.465
NVDA,20260513T133500Z,225,225,20594,C,227.5,5297,C,222.5,7284,C,227.5,220,221.8128,222.5,220,220,225.14
AMZN,20260513T133500Z,267.5,267.5,796,C,265,3100,C,270,3351,C,270,257.5,261.8658,275,270,257.5,267
GOOGL,20260513T133500Z,387.5,387.5,681,P,385,1737,C,390,1940,C,400,385,388.2457,380,380,380,386.81
META,20260513T133500Z,615,615,1307,C,610,1240,P,620,1145,C,630,592.5,612.5756,665,600,630,613.945
TSLA,20260513T133500Z,435,435,5332,C,437.5,1202,C,432.5,655,C,450,425,438.9703,400,430,450,435.26
AMD,20260513T133500Z,455,455,1258,P,452.5,1124,P,457.5,280,C,455,447.5,448.2059,387.5,450,470,454.52
NFLX,20260513T133500Z,87,87,2914,P,88,14183,P,86,2945,C,88,86,86.7489,96,90,90,87.035
COIN,20260513T133500Z,210,210,1433,C,207.5,663,C,212.5,373,C,215,202.5,209.6523,210,220,220,209.25
PLTR,20260513T133500Z,134,134,1094,P,135,3503,P,133,1129,P,138,131,134.3113,140,130,138,134.435
AVGO,20260513T133500Z,420,420,3998,P,422.5,723,C,417.5,723,C,432.5,420,429.6453,405,415,425,420.195
BAC,20260513T133500Z,50.5,50.5,944,P,50,6625,P,51,1460,C,51.5,49.5,50.2503,52,51.5,51.5,50.385
XOM,20260513T133500Z,150,150,1333,C,149,233,C,148,709,C,150,148,149.3007,155,155,157.5,149.61
