t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260429T163004Z,272,272,2624,P,271,2359,P,273,2643,P,273,271,272.0164,249,266,256,271.55
20260429T195500Z,271,271,2359,P,272,2624,P,270,14783,P,273,271,270.6144,249,266,256,271.23
20260430T120000Z,272,270,1839,P,262.5,620,P,244,1037,P,276,270,271.6528,237,270,270,271.915
20260430T133500Z,273,270,1839,P,262.5,620,P,244,1037,P,276,270,273.3333,237,270,270,273.13
20260430T163000Z,276,270,1839,P,262.5,620,P,244,1037,P,277,270,274.8073,237,270,270,276.12
20260430T195500Z,278,270,1839,P,262.5,620,P,244,1037,P,283,270,274.8029,237,270,270,277.77
20260501T120000Z,278,278,560,C,267.5,899,P,244,872,P,278,267.5,278.9416,237,273,267.5,277.945
20260501T133500Z,278,278,560,C,267.5,899,P,244,872,P,278,267.5,278.9418,237,267.5,267.5,277.605
20260501T163000Z,279,278,560,C,267.5,899,P,244,872,P,280,267.5,278.9408,237,267.5,267.5,278.87
20260501T195500Z,280,278,560,C,267.5,899,P,244,872,P,280,267.5,279.0608,237,278,267.5,279.535
20260504T120000Z,278,277,575,C,274,689,P,244,836,P,287,274,279.7715,237,274,274,278
20260504T133500Z,279,277,575,C,274,689,P,244,836,P,287,274,279.7695,237,274,274,278.93
20260504T163000Z,277,277,575,C,274,689,P,244,836,P,287,274,279.7742,237,274,274,277.12
20260504T195500Z,278,277,575,C,274,689,P,244,836,P,287,274,279.7722,237,274,274,277.725
20260505T120000Z,280,275,515,P,270,591,P,268,663,P,290,274,279.4373,237,275,290,279.575
20260505T133500Z,280,275,515,P,270,591,P,268,663,P,290,274,279.4342,237,275,290,280.3
20260505T163000Z,282,275,515,P,270,591,P,268,663,P,290,274,279.4279,237,285,290,282.21
20260505T195500Z,283,275,515,P,270,591,P,268,663,P,290,274,279.4249,237,290,290,282.745
20260506T120000Z,289,289,1814,C,288,1827,C,290,18499,C,293,281,288.1551,245,285,295,288.64
20260506T133500Z,285,285,40386,C,286,6142,C,284,2457,C,293,281,285.201,245,280,270,285.41
20260506T163000Z,285,285,40386,C,286,6142,C,284,2457,C,293,270,285.1993,245,275,270,285.27
20260506T195500Z,286,286,6142,C,287,1915,C,285,40386,C,293,270,286.9086,245,280,270,286.27
20260507T120000Z,287,288,718,C,290,556,C,260,520,P,288,277,280.21,189,290,290,286.665
20260507T133500Z,287,288,774,C,290,645,C,276,594,P,294,276,286.5514,191,290,276,286.53
20260507T163000Z,285,288,774,C,290,645,C,276,594,P,294,276,284.1324,191,290,229,284.635
20260507T195500Z,282,276,594,P,288,774,C,290,645,C,294,276,282.8713,191,288,229,281.555
20260508T120000Z,283,244,3342,P,243,4152,P,242,4275,P,287,241,284.2613,185,288,241,283.095
20260508T133500Z,284,275,655,P,244,3429,P,243,4380,P,295,279,284.0997,185,279,275,283.65
20260508T163000Z,283,275,655,P,244,3429,P,243,4380,P,295,275,282.9896,185,275,239,283.47
20260508T195500Z,284,275,655,P,244,3429,P,243,4380,P,295,275,284.0778,185,279,239,283.88
20260511T120000Z,284,287,503,C,292,531,C,275,512,P,287,275,282.2273,189,292,241,283.96
20260511T133500Z,285,287,505,C,292,537,C,275,520,P,290,280,284.3765,189,290,239,284.7
20260511T163000Z,286,287,505,C,292,537,C,275,520,P,290,280,285.8124,189,292,239,285.95
20260511T195500Z,285,287,505,C,292,537,C,275,520,P,290,280,285.812,189,292,239,285.4
20260512T120000Z,284,294,664,C,244,3524,P,325,685,C,294,284,284.9556,185,294,241,284.435
20260512T133500Z,284,294,705,C,244,3524,P,325,685,C,297.5,284,283.0108,185,294,297.5,284.115
20260512T163000Z,279,294,705,C,244,3524,P,243,4379,P,280,239,279.2663,185,294,239,278.77
20260512T195500Z,282,294,705,C,244,3524,P,243,4379,P,289,239,282.7698,185,294,239,282.48
20260513T120000Z,283,283,1045,P,282,1863,P,284,1201,C,290,272,283.1634,240,288,272,282.99
20260513T133500Z,282,282,1803,P,283,1841,C,281,2280,P,283,279,279.4105,240,272,273,282.035
20260513T163000Z,282,282,1803,P,281,2280,P,283,1841,C,283,273,279.4111,240,272,273,281.83
20260513T195500Z,283,283,1841,C,284,1145,C,282,1803,P,294,273,285.4269,240,272,273,283.185
20260514T120000Z,283,280,899,P,262.5,997,P,252.5,742,P,295,280,282.891,241,280,276,283.335
20260514T133500Z,283,280,899,P,262.5,997,P,252.5,742,P,295,280,282.8908,241,280,276,283.375
20260514T163000Z,285,280,899,P,262.5,997,P,252.5,742,P,295,280,285.5377,241,280,241,284.895
20260514T195500Z,285,280,899,P,262.5,997,P,252.5,742,P,295,280,284.1479,241,280,241,284.7
20260515T120000Z,282,262.5,957,P,252.5,742,P,249,676,P,290,282,284.8606,241,275,241,282.215
20260515T133500Z,282,262.5,957,P,252.5,742,P,249,676,P,290,282,284.8606,241,275,241,282.215
20260515T163000Z,278,262.5,957,P,252.5,742,P,249,676,P,290,276,284.7144,241,282,241,277.735
20260515T195500Z,278,262.5,957,P,252.5,742,P,249,676,P,290,276,284.7119,241,282,241,278.05
20260518T120000Z,278,272.5,539,P,262.5,1053,P,252.5,742,P,282,272.5,278.7635,241,272.5,272.5,277.635
20260518T133500Z,279,272.5,539,P,262.5,1053,P,252.5,742,P,282,272.5,278.5165,241,282,252.5,278.755
20260518T163000Z,276,272.5,539,P,262.5,1053,P,252.5,742,P,282,272.5,278.7645,241,262.5,272.5,275.805
20260518T195500Z,274,272.5,539,P,262.5,1053,P,252.5,742,P,282,272.5,271.2226,241,262.5,272.5,274.355
20260519T120000Z,276,276,1708,P,277,8002,P,275,42738,P,285,275,277.8312,260,275,265,276.375
20260519T133500Z,276,276,1708,P,277,8002,P,275,42738,P,285,275,277.8312,260,275,265,276.375
20260519T163000Z,272.5,272.5,543,P,272,8108,P,273,1077,P,277,268,272.4926,260,265,257,272.365
20260519T195500Z,273,273,1077,P,272.5,543,P,274,3208,P,277,268,272.4925,260,265,257,273.145
20260520T195500Z,280,276,540,C,272.5,1075,P,260,811,P,290,272.5,282.6747,247.5,272.5,276,279.59
20260521T120000Z,278,272.5,1104,P,257.5,606,P,243,750,P,290,268,277.6217,241,272.5,290,277.83
