t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260504T120000Z,278,278,9834,P,277,3576,P,279,3663,C,283,277,279.3366,271,275,277,278
20260504T133500Z,279,279,3663,C,278,9834,P,280,4915,C,280,278,279.0722,271,275,278,278.93
20260504T163000Z,277,277,3576,P,278,9834,P,276,3776,P,281,277,279.8678,271,278,278,277.12
20260504T195500Z,278,278,9834,P,277,3576,P,279,3663,C,283,277,279.4535,271,278,278,277.785
20260505T120000Z,280,280,5160,C,279,4443,C,281,2734,C,280,275,278.0963,273,277,279,279.575
20260505T133500Z,280,280,5160,C,281,2734,C,279,4443,C,281,277,278.2569,273,280,277,280.3
20260505T163000Z,282,282,3171,C,283,2027,C,281,2734,C,284,277,278.4035,273,280,277,282.21
20260505T195500Z,283,283,2027,C,282,3171,C,284,1858,C,283,272,286.63,273,282,281,282.745
20260506T120000Z,289,289,2752,C,288,1138,C,290,1161,C,289,279,285.0675,272,278,279,288.64
20260506T133500Z,285,285,1958,C,286,3700,C,284,2591,C,286,279,285.0339,272,286,278,285.41
20260506T163000Z,285,285,1958,C,286,3700,C,284,2591,C,286,285,285.1573,272,282,286,285.27
20260506T195500Z,286,286,3700,C,287,1163,C,285,1958,C,287,285,285.0621,272,286,286,286.27
20260507T120000Z,287,287,2287,C,287.5,527,C,286,2541,C,287,282,287.4566,275,283,286,286.86
20260507T133500Z,287,287,2287,C,286,2541,C,287.5,527,C,287,282,287.4692,275,282,286,286.53
20260507T163000Z,285,285,4293,P,284,3069,P,286,2541,C,286,283,285.8015,275,282,282,284.635
20260507T195500Z,282,282,5553,P,281,3087,P,283,4522,P,295,281,280.0235,275,283,283,281.555
20260508T120000Z,283,283,3406,C,284,5822,P,282,6261,C,285,281,283.5309,251,287,287,283.095
20260508T133500Z,284,284,5389,P,283,7178,C,285,15479,C,284,279,282.1093,255,285,284,283.65
20260508T163000Z,283,283,7178,C,284,5389,P,282,7368,P,285,280,282.5419,255,285,285,283.47
20260508T195500Z,284,284,5389,P,283,7178,C,285,15479,C,285,282,282.3351,255,285,285,283.88
20260511T120000Z,284,284,1933,C,283,3765,C,285,3688,C,285,274,283.3507,274,281,274,283.96
20260511T133500Z,285,285,6305,C,284,4790,P,286,1742,C,285,280,284.2768,274,283,280,284.7
20260511T163000Z,286,286,1742,C,285,6305,C,287,1594,C,288,274,284.3361,274,280,280,285.95
20260511T195500Z,285,285,6305,C,286,1742,C,284,4790,P,286,274,284.2218,274,285,282,285.4
20260512T120000Z,284,284,1501,P,285,891,C,283,1147,P,287,284,284.7908,278,280,279,284.435
20260512T133500Z,284,284,7477,P,285,4221,P,283,5002,P,289,284,285.9829,279,279,285,284.115
20260512T163000Z,279,279,10306,P,278,2343,P,280,7666,P,286,278,276.0297,279,282,280,278.77
20260512T195500Z,282,282,6868,P,283,5002,P,281,2788,P,294,282,277.1952,279,283,282,282.48
20260513T120000Z,283,283,1126,P,282,4509,P,284,4056,P,287,282,282.8891,276,279,276,282.99
20260513T133500Z,282,282,5514,P,283,17144,C,281,4818,P,283,281,281.4477,281,283,283,282.035
20260513T163000Z,282,282,5514,P,281,4818,P,283,17144,C,283,281,281.6572,281,283,283,281.83
20260513T195500Z,283,283,17144,C,284,7319,C,282,5514,P,284,281,281.5072,281,283,283,283.185
20260514T120000Z,283,283,3415,P,284,3288,C,282,4677,P,284,282,282.9643,278,281,284,283.335
20260514T133500Z,283,283,3415,P,284,3288,C,282,4677,P,284,282,282.9454,278,281,284,283.375
20260514T163000Z,285,285,5768,C,284,3288,C,286,1868,C,285,281,282.9579,278,281,281,284.895
20260514T195500Z,285,285,5768,C,284,3288,C,286,1868,C,285,281,282.8459,278,284,281,284.7
20260515T120000Z,282,282,14959,P,283,11763,C,281,14601,P,290,282,286.5582,249,280,278,282.215
20260515T133500Z,282,282,14959,P,283,11763,C,281,14601,P,290,282,286.5582,249,280,278,282.215
20260515T163000Z,278,278,24693,P,277,22998,P,279,5740,P,290,274,276.9639,249,275,276,277.735
20260515T195500Z,278,278,24693,P,279,5740,P,277,22998,P,290,278,276.9043,249,277,276,278.05
20260518T120000Z,278,278,3294,P,277,4841,P,279,4579,P,282,276,276.7622,276,280,276,277.635
20260518T133500Z,279,279,4579,P,278,3294,P,280,9730,C,280,276,276.8843,276,280,276,278.755
