t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,670,635,647.8475,670,635,325,568,450
20260420T210603Z,670,635,647.8475,670,635,325,568,450
20260420T230535Z,670,635,647.8472,670,635,325,568,450
20260421T011514Z,,,,,,670,645,653.3298,325,670,670,
20260421T020301Z,,,,,,,,,,,670,645,653.3298,325,670,670,
20260421T022041Z,659,612.5,2636,P,567,5424,P,562,5182,P,670,645,653.3298,325,670,670,658.94
20260429T163004Z,659,658,5003,C,660,22875,C,657,3350,C,672,645,655.564,631,675,645,658.545
20260429T195500Z,660,660,22875,C,658,5003,C,657,3350,C,672,645,662.9366,631,675,645,660.31
20260430T120000Z,665,360,2576,P,,,,,,,666,648,664.2092,365,671,648,664.63
20260430T133500Z,665,360,2576,P,,,,,,,666,648,664.209,365,655,648,664.67
20260430T163000Z,663,360,2576,P,,,,,,,666,648,663.1472,365,671,648,663.24
20260430T195500Z,668,360,2576,P,,,,,,,675,648,668.7927,365,680,648,668.26
20260501T120000Z,667,465,13261,P,410,2133,P,390,2820,P,687,659,667.2419,365,675,687,667.395
20260501T133500Z,669,465,13261,P,410,2133,P,390,2820,P,687,659,670.6862,365,675,687,669.385
20260501T163000Z,675,465,13261,P,410,2133,P,390,2820,P,687,659,673.3711,365,685,687,674.98
20260501T195500Z,675,465,13261,P,410,2133,P,390,2820,P,687,659,673.3708,365,685,687,675.48
20260504T120000Z,673,470,21257,P,465,13261,P,425,7866,P,685,666,671.4029,365,660,685,673.4
20260504T133500Z,675,470,21257,P,465,13261,P,425,7866,P,685,666,675.7999,365,660,685,675
20260504T163000Z,671,470,21257,P,465,13261,P,425,7866,P,685,666,671.4043,365,660,685,671.105
20260504T195500Z,673,470,21257,P,465,13261,P,425,7866,P,685,666,671.4034,365,660,685,672.555
20260505T120000Z,677,470,21265,P,465,13261,P,425,7866,P,690,668,673.9326,365,665,645,676.625
20260505T133500Z,678,470,21265,P,465,13261,P,425,7866,P,690,668,679.8573,365,665,645,677.89
20260505T163000Z,680,470,21265,P,465,13261,P,425,7866,P,690,668,680.1813,365,665,645,680.245
20260505T195500Z,682,470,21265,P,465,13261,P,425,7866,P,690,668,681.3091,365,665,668,682.415
20260506T120000Z,693,695,7032,C,691,5154,C,690,11509,C,700,680,693.6293,604,675,675,693.415
20260506T133500Z,688,688,5666,C,690,11509,C,691,5154,C,691,680,685.6904,604,675,675,688.175
20260506T163000Z,692,691,5154,C,690,11509,C,695,7032,C,700,680,693.6286,604,675,675,691.89
20260506T195500Z,693,695,7032,C,691,5154,C,690,11509,C,700,680,693.6275,604,675,675,693.495
20260507T120000Z,695,690,2019,C,650,2011,P,639,4798,P,700,670,638.0327,546,690,690,695.21
20260507T133500Z,696,690,2421,C,650,2071,P,639,4267,P,700,690,692.4188,549,690,720,696.415
20260507T163000Z,700,690,2421,C,650,2071,P,639,4267,P,720,601,692.4181,549,690,601,699.825
20260507T195500Z,693,690,2421,C,650,2071,P,639,4267,P,700,601,692.42,549,690,601,692.69
20260508T120000Z,698,639,4267,P,638,4017,P,637,3685,P,700,611,691.0842,546,705,611,697.74
20260508T133500Z,700,642,3182,P,639,3986,P,638,4055,P,716,697,697.5307,549,710,716,699.815
20260508T163000Z,707,770,3613,C,642,3182,P,639,3986,P,716,632,703.9314,549,690,632,707.405
20260508T195500Z,710,770,3613,C,642,3182,P,780,2674,C,716,632,703.9301,549,700,632,709.79
20260511T120000Z,710,770,3613,C,642,3182,P,780,2674,C,716,626,704.0066,546,690,624,710.455
20260511T133500Z,710,716,2674,C,725,2291,C,755,3022,C,725,700,713.8619,480,725,628,710.15
20260511T163000Z,712,716,2674,C,725,2291,C,755,3022,C,716,700,713.7956,480,725,725,712.015
20260511T195500Z,712,716,2674,C,725,2291,C,755,3022,C,716,700,713.7956,480,725,628,712.315
20260512T120000Z,710,716,2674,C,770,3919,C,642,3406,P,716,611,639.8423,460,716,611,708.37
20260512T133500Z,708,716,3052,C,770,4223,C,642,3406,P,722,705,709.4057,480,716,722,707.64
20260512T163000Z,700,642,3406,P,639,4205,P,638,4282,P,704,683,703.1039,450,720,626,699.94
20260512T195500Z,706,642,3406,P,639,4205,P,638,4282,P,725,705,704.1185,450,720,642,706.465
20260513T120000Z,712,712,3359,C,713,3210,C,714,5080,C,715,660,708.3605,650,705,660,712.22
20260513T133500Z,710,710,8753,C,708,2016,C,712,3425,C,735,700,712.1558,660,700,700,709.79
20260513T163000Z,713,713,2925,C,712,3425,C,714,5048,C,735,700,712.1539,659,705,700,712.505
20260513T195500Z,715,715,7945,C,714,5048,C,713,2925,C,735,700,715.7688,659,705,700,715.48
20260514T120000Z,716,725,2787,C,662,2492,P,,,,728,710,715.8263,566,725,728,716.49
20260514T133500Z,713,725,2787,C,662,2492,P,,,,728,710,712.967,566,725,728,712.82
20260514T163000Z,721,725,2787,C,662,2492,P,,,,728,710,719.0253,566,725,728,721.29
20260514T195500Z,721,725,2787,C,662,2492,P,,,,728,710,719.0242,566,725,728,720.545
20260515T120000Z,711,662,2506,P,,,,,,,735,700,723.7436,490,700,689,710.68
20260515T133500Z,711,662,2506,P,,,,,,,735,700,723.7436,490,700,689,710.68
