t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,658,645,650.788,645,645,619,620,495
20260420T210603Z,658,645,650.7724,645,645,619,620,495
20260420T230535Z,658,648,650.7082,645,650,619,620,495
20260421T011514Z,,,,,,659,648,635.1104,619,658,658,
20260421T020301Z,,,,,,,,,,,659,648,635.1104,619,658,658,
20260421T022041Z,659,659,5035,C,658,9912,C,660,7302,C,659,648,635.1104,619,658,658,658.94
20260429T163004Z,659,659,4049,C,658,5800,C,660,7512,C,660,649,654.0239,651,656,660,658.545
20260429T195500Z,660,660,7512,C,661,4671,C,659,4049,C,661,649,654.0148,651,662,662,660.31
20260430T120000Z,665,665,17798,C,664,5101,C,666,2385,C,665,663,663.5201,607,675,665,664.63
20260430T133500Z,665,665,17798,C,664,5101,C,666,2385,C,665,663,663.4639,607,660,663,664.67
20260430T163000Z,663,663,10467,C,664,5101,C,662,4113,C,665,663,663.6387,607,660,665,663.24
20260430T195500Z,668,668,3382,C,669,4605,C,667,3635,C,669,658,663.1456,607,670,670,668.26
20260501T120000Z,667,667,9634,P,668,8171,C,666,9363,P,669,667,667.9924,635,660,665,667.395
20260501T133500Z,669,669,4370,C,670,14960,C,668,8171,C,672,667,669.7231,635,660,672,669.385
20260501T163000Z,675,675,18491,C,674,7219,C,676,4677,C,676,665,674.9059,635,680,674,674.98
20260501T195500Z,675,675,18491,C,676,4677,C,674,7219,C,676,675,675.0921,635,675,674,675.48
20260504T120000Z,673,673,7612,C,674,5704,P,672,4444,P,677,673,676.5956,650,663,675,673.4
