t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,711,709,710.7231,711,711,694,720,700
20260420T210603Z,711,709,710.7648,710,710,694,720,700
20260420T230535Z,711,709,710.7261,711,711,694,720,700
20260421T011514Z,,,,,,711,709,710.7176,694,711,711,
20260421T020301Z,,,,,,,,,,,711,709,710.7176,694,711,711,
20260421T022041Z,710,710,33111,P,709,11593,P,711,17383,C,711,709,710.7176,694,711,711,709.855
20260429T163004Z,710,710,67606,P,711,13138,C,709,8583,P,712,710,710.9585,705,718,712,710.085
20260429T195500Z,710,710,67606,P,711,13138,C,709,8583,P,712,710,710.9561,705,712,710,710.195
20260430T120000Z,714,714,9466,C,715,15650,C,713,7579,C,716,700,714.5015,655,700,716,714.33
20260430T133500Z,714,714,9466,C,715,15650,C,713,7579,C,716,700,714.5135,655,700,716,714.2
20260430T163000Z,715,715,15650,C,714,9466,C,716,5717,C,716,705,715.4135,655,710,716,714.965
20260430T195500Z,719,719,5593,C,720,25505,C,718,5573,C,720,709,715.1126,655,720,720,719.21
20260501T120000Z,720,720,21600,C,721,7437,C,719,15124,C,722,719,719.4594,600,710,722,720.37
