t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T204829Z,7300,7000,7071.4811,,7800,7075,7050,6000
20260420T204859Z,7300,7000,7071.4811,,7800,7075,7050,6000
20260420T205159Z,7300,7000,7071.4811,,7800,7075,7050,6000
20260420T210559Z,7300,7000,7071.4811,,7800,7075,7050,6000
20260420T224859Z,7300,7000,7071.4532,,7300,7075,7050,6000
20260420T224928Z,7300,7000,7071.4532,,7300,7075,7050,6000
20260420T230528Z,7300,7000,7071.4532,,7300,7075,7050,6000
20260420T234557Z,7300,7000,7071.4534,,7300,7075,7300,7140
20260421T011503Z,7200,7110,,7200,7075,7300,7000,6826.0112,7075,7300,,7156.5
20260421T014506Z,7200,7130,7195.5704,7200,7125,7300,7000,6971.6049,7075,7300,,7162.25
20260421T020259Z,7160,7150,3740,C,7175,617,C,7140,616,C,7300,7000,6971.6049,7075,7300,,7159.25
20260421T024158Z,7160,7150,3740,C,7175,617,C,7140,616,C,7300,7000,6971.6049,7075,7300,,7160
20260421T080006Z,7160,7150,3740,C,7175,617,C,7140,616,C,7300,7000,6971.6049,7075,7300,,7158.5
20260421T120000Z,7175,7175,617,C,7185,1030,C,7200,4413,C,7300,7000,6970.9044,7075,7300,,7177.5
20260421T133500Z,7150,7150,3740,C,7140,616,C,7130,913,C,7300,7000,6795.2671,7075,7300,,7152
20260421T163000Z,7125,7125,1902,C,7130,913,C,7110,1177,P,7300,7000,6797.5766,7075,7300,,7122.75
20260421T195500Z,7090,7110,1177,P,7075,2469,C,7125,1902,C,7300,7000,7044.7836,7075,7300,,7094.75
20260422T080000Z,7140,7140,828,C,7150,3390,C,7125,1080,C,7150,7140,6796.1765,7100,7400,,7143.25
20260422T120000Z,7140,7140,745,C,7150,3390,C,7130,5500,P,7150,7140,6796.4492,7110,7400,,7141.75
20260422T133500Z,7140,7140,1041,C,7150,1717,C,7130,5500,P,7275,7140,6795.5303,7220,7200,,7144
20260422T163000Z,7150,7150,1717,C,7140,1041,C,7130,5500,P,7275,7150,6795.0393,7220,7300,,7151.5
20260422T195500Z,7175,7150,1717,C,7140,1041,C,7200,2606,C,7275,7140,6940.9913,7220,7200,,7167.75
20260423T080000Z,7140,7140,6666,P,7150,1854,C,7130,11014,P,7275,7140,6795.5303,7220,7200,,7145
20260423T120000Z,7160,7160,5687,P,7150,1854,C,7170,6262,P,7275,7105,6849.4579,7220,7300,,7157.25
20260423T133500Z,7150,7150,1854,C,7160,5687,P,7140,6666,P,7275,7105,6849.5542,7220,7200,,7152.5
20260423T163000Z,7160,7160,5687,P,7170,6262,P,7150,1854,C,7275,7105,6941.4457,7220,7200,,7164.25
20260423T195500Z,7135,7140,6666,P,7130,11014,P,7125,5050,P,7275,7105,6796.2506,7220,7200,,7136.75
20260424T080000Z,7150,7150,1854,C,7160,5687,P,7140,6666,P,7275,7140,6824.419,7220,7200,,7154
20260424T120000Z,7170,7170,6262,P,7160,5687,P,7150,1854,C,7200,7140,6930.4698,7220,7200,,7169.25
20260424T133500Z,7150,7150,1854,C,7160,5687,P,7140,6666,P,7200,7140,6825.7913,7220,7200,,7155
20260424T163000Z,7190,7190,10646,P,7200,11065,P,7170,6262,P,7200,7140,6842.2899,7220,7200,,7188.5
