t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260427T080000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260427T120000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260427T133500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260427T163000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260427T195500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260428T080000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260428T120000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260428T133500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260428T163000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260428T195500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260429T080000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260429T120000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260429T133500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260429T163006Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260429T195500Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260430T080000Z,26000,,,,,,,,,,26000,,,26000,26000,,25582.5
20260430T120000Z,26000,,,,,,,,,,,,,26000,,,193.5
20260430T133500Z,26000,,,,,,,,,,,,,26000,,,70
20260430T163000Z,26000,,,,,,,,,,,,,26000,,,49.5
20260430T195500Z,27000,,,,,,,,,,,,,26000,27000,,27603
20260501T080000Z,27600,27600,9300,C,27800,6600,C,27350,16900,C,27600,26700,26301.0193,26750,26700,,27578.75
20260501T120000Z,27560,27600,258,C,27500,370,C,27700,319,C,27600,26700,27695.5496,23550,26800,,27559.75
20260501T133500Z,27700,27800,6600,C,27600,9300,C,27350,16900,C,27800,26950,27570.2042,26750,26700,,27700.75
20260501T163000Z,27800,27800,6600,C,27600,9300,C,28150,2700,C,28150,26950,27569.7278,26750,26700,,27824
20260501T195500Z,27800,27800,6600,C,27600,9300,C,28150,2700,C,28150,26950,27569.1225,26750,26700,,27865
20260504T080000Z,27920,27900,349,C,27950,288,C,27875,209,P,28000,27875,27946.5468,26750,27500,,27918
20260504T120000Z,27830,27825,266,C,27800,582,C,27875,227,P,28000,27750,27948.5282,26800,26500,,27828.5
20260504T133500Z,27860,27875,227,P,27900,616,C,27825,266,C,28000,27750,27943.0959,26800,26500,,27865
20260504T163000Z,16500,20000,272,P,21000,301,P,22750,1700,P,,,,26900,,,158.5
20260504T195500Z,27770,27800,10796,C,27600,205,P,28000,398,P,27800,26700,,26900,26700,,27766
