t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260504T120000Z,7230,5350,3846,P,5200,3674,P,5150,2203,P,7450,7125,7194.7549,4950,7075,7460,7230.12
20260504T133500Z,7220,5350,3846,P,5200,3674,P,5150,2203,P,7450,7125,7194.7551,4950,7075,7460,7219.24
20260504T163000Z,7200,5350,3846,P,5200,3674,P,5150,2203,P,7450,7125,7194.7556,4950,7075,7460,7199.35
20260504T195500Z,7200,5350,3846,P,5200,3674,P,5150,2203,P,7450,7125,7194.7556,4950,7075,7460,7201.52
20260505T120000Z,7200,7100,2201,C,7000,3154,C,6850,2491,P,7225,7100,7204.6663,4950,7000,7100,7200.75
20260505T133500Z,7200,7100,2201,C,7000,3154,C,6850,2491,P,7225,7100,7204.6663,4950,7000,7100,7200.75
20260505T163000Z,7260,7100,2201,C,7000,3154,C,6850,2491,P,7400,7100,7264.1169,4950,7100,7100,7258.65
20260505T195500Z,7275,7100,2201,C,7000,3154,C,6850,2491,P,7400,7100,7264.1157,4950,7100,7100,7272.9
20260506T120000Z,7260,7250,4069,C,7275,4464,P,7225,6146,P,7350,7240,7271.0913,5150,7100,7150,7259.22
20260506T133500Z,7260,7250,4069,C,7275,4464,P,7225,6146,P,7350,7240,7271.0913,5150,7100,7150,7259.22
20260506T163000Z,7340,7350,7453,C,7360,3267,C,7370,3049,C,7350,7240,7339.0824,5150,7400,7150,7338.17
20260506T195500Z,7355,7360,3267,C,7350,7453,C,7370,3049,C,7400,7240,7356.2909,5150,7400,7150,7357.15
20260507T120000Z,7370,7700,3037,C,7800,3016,C,6800,2063,C,7700,7165,7285.4065,5100,7225,7700,7365.12
20260507T133500Z,7365,7700,3206,C,7800,3021,C,5900,4191,P,7450,7200,7355.2422,5100,7225,7200,7365.12
20260507T163000Z,7375,7700,3206,C,7800,3021,C,5900,4191,P,7450,7370,7378.5193,5100,7450,7200,7373.77
20260507T195500Z,7325,7700,3206,C,7800,3021,C,5900,4191,P,7450,7200,7329.9117,5100,7200,6645,7326.78
20260508T120000Z,7335,5850,2384,P,5675,2295,P,5350,6716,P,7425,7250,7334.6877,4500,7250,5100,7337.11
20260508T133500Z,7335,5850,2381,P,5675,2295,P,5350,6716,P,7410,7150,7347.241,4750,7250,7410,7337.11
20260508T163000Z,7390,5850,2381,P,5675,2295,P,5350,6716,P,7410,7150,7385.3858,4750,7325,6865,7388.49
20260508T195500Z,7395,5850,2381,P,5675,2295,P,5350,6716,P,7410,7150,7395.0439,4750,7325,5350,7392.76
20260511T120000Z,7400,7300,2299,C,7500,2159,C,7125,2322,P,7500,7050,7345.0176,5050,7500,6800,7398.93
20260511T133500Z,7400,7300,2291,C,7500,2045,C,7275,2437,P,7430,7175,7395.9857,5100,7175,6630,7398.93
20260511T163000Z,7425,7500,2045,C,7300,2291,C,7275,2437,P,7430,7275,7423.5292,5100,7500,7175,7423.22
20260511T195500Z,7405,7500,2045,C,7300,2291,C,7275,2437,P,7430,7175,7406.3496,5100,7500,7175,7406.77
