t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,7130,7100,7125.3242,7130,7130,6775,7375,5400
20260420T210603Z,7130,7100,7125.3242,7130,7130,6775,7375,5400
20260420T230535Z,7130,7100,7125.3242,7130,7130,6775,7375,5400
20260421T011514Z,,,,,,7130,7100,7125.3242,6775,7130,7130,
20260421T020301Z,,,,,,,,,,,7130,7100,7125.3242,6775,7130,7130,
20260421T022041Z,7110,7110,8635,P,7115,7246,P,7100,7586,P,7130,7100,7125.3242,6775,7130,7130,7109.14
20260429T163004Z,7120,7120,2342,P,7125,2666,P,7140,3425,C,7140,7100,7135.2783,7050,7200,7100,7121.87
20260429T195500Z,7125,7125,2666,P,7120,2342,P,7140,3425,C,7140,7100,7135.2607,7050,7100,7100,7126.07
20260430T120000Z,7135,7140,3017,C,7130,2448,C,7125,2985,P,7240,7120,7129.0205,6715,7000,7120,7135.95
20260430T133500Z,7155,7150,6665,C,7170,3069,C,7140,3017,C,7300,7150,7151.7541,6715,7300,7175,7155.36
20260430T163000Z,7175,7175,2346,C,7170,3069,C,7200,5985,C,7300,7150,7151.3543,6715,7240,7200,7175.17
20260430T195500Z,7215,7205,2810,C,7225,5098,C,7200,5985,C,7240,7120,7150.6938,6715,7240,7240,7214.4
20260501T120000Z,7210,7210,3423,C,7205,2074,C,7215,2896,C,7340,7200,7210.6889,6730,7340,7200,7209.01
20260501T133500Z,7245,7245,4843,C,7250,7217,C,7240,2868,C,7250,7150,7210.3501,6730,7340,7280,7245.32
20260501T163000Z,7250,7250,7217,C,7255,3108,C,7245,4843,C,7340,7150,7210.3349,6730,7280,7280,7250.88
20260501T195500Z,7245,7245,4843,C,7250,7217,C,7240,2868,C,7250,7150,7210.3422,6730,7280,7280,7246.04
20260504T120000Z,7230,7230,2451,P,7225,2645,P,7250,3228,C,7360,7225,7216.7881,7060,7360,7200,7230.12
20260504T133500Z,7220,7225,2645,P,7230,2451,P,7200,9524,P,7320,7200,7217.0124,7060,7150,7200,7219.24
20260504T163000Z,7200,7200,9524,P,7190,2843,P,7180,2291,P,7215,7190,7213.4357,7060,7150,7175,7199.35
20260504T195500Z,7200,7200,9524,P,7190,2843,P,7180,2291,P,7215,7200,7213.3923,7060,7175,7175,7201.52
20260505T120000Z,7200,7200,6060,C,7230,2116,C,7240,3220,C,7350,7195,7197.7024,7075,7350,7180,7200.75
20260505T133500Z,7200,7200,6060,C,7230,2116,C,7240,3220,C,7410,7200,7209.7298,7075,7410,7125,7200.75
