t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260518T163000Z,295,305,1860,C,310,720,C,270,501,P,305,280,296.7584,180,305,305,295.975
20260518T195500Z,297.5,305,1860,C,310,720,C,270,501,P,305,280,296.8916,180,305,200,297.355
20260519T120000Z,297.5,297.5,1019,C,300,11945,C,295,6303,C,300,280,292.5047,300,300,310,298
20260519T133500Z,297.5,297.5,1019,C,300,11945,C,295,6303,C,300,280,292.5047,300,300,310,298
20260519T163000Z,297.5,297.5,1304,C,295,6444,C,300,20311,C,300,287.5,295.624,300,300,300,297.06
20260519T195500Z,297.5,297.5,1304,C,300,20311,C,295,6444,C,300,287.5,295.6147,300,300,300,297.885
20260520T195500Z,302.5,302.5,2889,C,297.5,1544,C,307.5,738,C,312.5,297.5,304.7869,292.5,297.5,312.5,302.445
20260521T120000Z,300,302.5,3723,C,297.5,1771,P,305,1180,C,312.5,292.5,303.4331,297.5,312.5,312.5,301.2
20260521T133500Z,300,302.5,3723,C,297.5,1771,P,305,1180,C,305,292.5,303.0118,297.5,312.5,312.5,301.18
20260521T163000Z,302.5,302.5,2889,C,297.5,1544,C,307.5,738,C,302.5,287.5,300.0871,292.5,297.5,312.5,301.93
20260522T120000Z,305,305,2374,C,302.5,1008,C,307.5,1410,C,305,297.5,298.1055,305,300,310,304.99
20260522T133500Z,305,305,2374,C,302.5,1008,C,307.5,1410,C,305,297.5,298.1055,305,300,310,304.99
20260522T163000Z,310,307.5,3439,C,312.5,3789,C,302.5,5590,P,312.5,302.5,304.9824,302.5,302.5,302.5,308.81
20260522T195500Z,307.5,307.5,3439,C,312.5,3789,C,302.5,5590,P,312.5,302.5,304.9827,302.5,302.5,302.5,308.69
20260526T120000Z,310,310,543,C,312.5,12243,C,307.5,5042,P,317.5,307.5,309.7421,312.5,317.5,317.5,310.57
20260526T133500Z,310,310,543,C,312.5,12243,C,307.5,5042,P,317.5,307.5,309.6331,312.5,312.5,317.5,310.675
20260526T195500Z,310,310,543,C,307.5,5042,P,312.5,12243,C,317.5,307.5,309.7894,312.5,317.5,317.5,309.75
20260527T120000Z,307.5,307.5,564,C,310,14363,C,305,8152,C,310,290,292.6066,310,305,315,308.535
20260527T133500Z,307.5,307.5,564,C,310,14363,C,305,8152,C,310,290,292.6376,310,305,310,308.545
20260527T163000Z,312.5,312.5,1700,C,310,14442,C,315,6261,C,315,305,310.8729,310,310,330,312.07
20260527T195500Z,310,310,14442,C,312.5,1700,C,307.5,809,C,315,305,310.9037,310,305,330,310.675
20260528T120000Z,310,315,655,C,245,830,P,240,549,P,315,310,311.3881,230,315,315,310.305
20260528T133500Z,310,245,820,P,240,559,P,225,501,P,315,310,,225,315,320,310.335
20260528T163000Z,312.5,315,655,C,245,830,P,240,549,P,315,310,311.3543,230,315,315,311.385
20260528T195500Z,310,315,655,C,245,830,P,240,549,P,315,310,311.4532,230,315,315,310.825
20260529T120000Z,310,310,742,P,315,1051,C,245,829,P,315,305,308.9704,240,315,315,311.175
20260529T133500Z,312.5,310,742,P,315,1051,C,245,829,P,315,305,308.947,240,315,315,312.01
20260529T163000Z,312.5,315,1051,C,310,742,P,245,829,P,315,305,308.827,240,310,245,313.285
20260529T195500Z,312.5,315,1051,C,310,742,P,245,829,P,315,305,308.827,240,310,245,313.285
20260601T120000Z,310,310,730,P,312.5,628,C,315,1591,C,312.5,305,307.7512,300,315,315,309.58
20260601T133500Z,310,310,730,P,312.5,628,C,315,1591,C,312.5,305,307.7411,300,315,315,310.85
20260601T163000Z,310,310,730,P,312.5,628,C,315,1591,C,312.5,305,307.7411,300,315,315,310.85
20260601T195500Z,310,310,730,P,312.5,628,C,315,1591,C,312.5,305,307.7411,300,315,315,310.85
20260602T120000Z,310,310,730,P,312.5,628,C,315,1591,C,312.5,305,307.7411,300,315,315,310.85
20260608T120000Z,310,315,546,C,302.5,544,P,320,573,C,320,302.5,313.2453,220,320,320,308.775
20260608T133500Z,307.5,302.5,544,P,315,546,C,320,573,C,320,302.5,313.2607,220,320,320,308.63
20260608T163000Z,315,395,839,C,400,659,C,215,749,P,315,302.5,308.4658,302.5,320,395,314.37
20260608T195500Z,315,395,839,C,400,659,C,215,749,P,315,302.5,308.4658,302.5,320,395,314.63
20260609T120000Z,300,300,44005,C,302.5,5247,C,297.5,3759,P,320,287.5,297.5897,280,290,320,300.7
20260609T133500Z,300,300,44005,C,302.5,5247,C,297.5,3759,P,320,287.5,297.5897,280,280,320,300.45
20260609T163000Z,300,300,44005,C,302.5,5247,C,297.5,3759,P,320,287.5,297.5897,280,280,320,300.45
20260609T195500Z,290,290,36791,C,287.5,4215,P,292.5,1105,P,320,287.5,288.0292,280,300,320,289.815
20260610T120000Z,292.5,292.5,1105,P,297.5,3759,P,287.5,4215,P,322.5,287.5,,160,307.5,322.5,293.775
20260610T133500Z,292.5,292.5,1105,P,287.5,4215,P,297.5,3759,P,322.5,287.5,,160,287.5,322.5,290.785
20260610T163000Z,292.5,292.5,1105,P,287.5,4215,P,297.5,3759,P,322.5,287.5,,160,287.5,322.5,290.725
20260616T195500Z,297.5,297.5,5225,C,300,9079,C,295,5101,C,300,292.5,294.6711,300,305,302.5,298.455
20260617T120000Z,300,300,12915,C,297.5,13210,P,302.5,10613,C,305,297.5,301.842,300,305,305,299
20260617T133500Z,300,300,12915,C,302.5,10613,C,297.5,13210,P,305,297.5,303.0444,300,305,305,300.705
