t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,285,265,280.3798,265,270,250,300,265
20260420T210603Z,285,265,280.4033,265,270,250,300,265
20260420T230535Z,285,265,280.3953,265,270,250,300,265
20260421T011514Z,,,,,,302.5,277.5,280.0997,250,300,290,
20260421T020301Z,,,,,,,,,,,302.5,277.5,280.0997,250,300,290,
20260421T022041Z,302.5,302.5,889,C,300,6415,C,305,924,C,302.5,277.5,280.0997,250,300,290,302.38
20260429T163004Z,327.5,327.5,681,C,330,1598,C,325,1417,C,330,315,317.5773,310,340,322.5,328.655
20260429T195500Z,337.5,337.5,552,P,340,2724,C,335,1513,C,340,315,352.732,310,350,325,338.5
20260430T120000Z,342.5,342.5,574,P,345,2114,P,340,2973,C,350,335,341.2609,320,350,350,342.525
20260430T133500Z,340,340,2973,C,337.5,593,P,342.5,574,P,350,335,341.3185,320,350,350,339.78
20260430T163000Z,347.5,347.5,801,P,350,3778,C,345,2114,P,350,342.5,344.493,320,340,370,348.435
20260430T195500Z,352.5,352.5,795,C,355,754,C,350,3778,C,370,342.5,357.6616,320,360,370,352.74
20260501T120000Z,350,350,5224,C,352.5,1887,C,347.5,1094,P,352.5,340,350.9957,300,340,340,350.3
20260501T133500Z,350,350,5224,C,347.5,1094,P,352.5,1887,C,352.5,340,351.0132,300,340,340,349.5
20260501T163000Z,355,355,1172,C,352.5,1887,C,357.5,397,C,362.5,340,350.9087,300,350,340,354.45
20260501T195500Z,360,360,3217,C,357.5,397,C,362.5,1979,C,362.5,350,350.7947,300,350,340,359.76
20260504T120000Z,357.5,357.5,806,C,360,6020,C,355,2295,C,360,350,352.3105,317.5,350,367.5,357.565
20260504T133500Z,360,360,6020,C,362.5,2266,C,357.5,806,C,367.5,350,352.2831,317.5,370,367.5,360.32
20260504T163000Z,340,340,9913,P,342.5,660,P,337.5,1212,P,360,340,332.9344,317.5,350,350,340.405
20260504T195500Z,342.5,342.5,660,P,340,9913,P,345,2903,P,360,340,332.9043,317.5,350,350,342.08
20260505T120000Z,347.5,347.5,2133,P,350,10497,C,345,7232,P,350,345,347.4327,320,340,342.5,347.925
20260505T133500Z,350,350,10497,C,347.5,2133,P,352.5,2714,C,350,300,346.6922,320,370,300,349.625
20260505T163000Z,355,355,2772,C,352.5,2714,C,357.5,1088,C,400,345,347.4387,320,400,400,354.81
20260505T195500Z,352.5,352.5,2714,C,355,2772,C,350,10497,C,400,345,347.4251,320,400,400,353.74
20260506T120000Z,430,430,1105,C,427.5,875,C,425,897,C,430,400,427.5103,270,450,415,429.5
20260506T133500Z,405,405,624,C,407.5,613,C,402.5,240,C,415,400,402.2537,270,400,415,405.245
20260506T163000Z,415,415,1535,C,412.5,588,C,410,1090,C,415,400,402.2709,270,350,290,414.06
