t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,420,385,411.1001,407.5,390,250,480,250
20260420T210603Z,420,385,387.5172,405,390,250,480,250
20260420T230535Z,420,400,411.0925,407.5,390,250,480,250
20260421T011514Z,,,,,,420,385,387.5169,250,390,407.5,
20260421T020301Z,,,,,,,,,,,420,385,387.5169,250,390,407.5,
20260421T022041Z,400,400,431,P,395,394,P,405,429,P,420,385,387.5169,250,390,407.5,399.035
20260429T163004Z,400,400,2495,C,397.5,632,P,402.5,290,C,420,395,402.6618,397.5,405,420,398.935
20260429T195500Z,405,405,1056,C,402.5,290,C,407.5,999,C,420,400,402.6492,397.5,400,420,404.39
20260430T120000Z,412.5,410,430,P,407.5,370,C,405,323,C,420,410,412.4716,245,400,390,411.75
20260430T133500Z,412.5,410,430,P,420,239,C,407.5,370,C,420,410,412.4706,245,410,405,414.41
20260430T163000Z,412.5,410,430,P,407.5,370,C,420,239,C,420,410,412.4703,245,407.5,405,413.2
20260430T195500Z,417.5,420,239,C,410,430,P,407.5,370,C,420,410,412.4695,245,410,407.5,416.2
20260501T120000Z,415,417.5,361,C,410,464,P,420,308,C,417.5,405,412.5403,250,410,405,413.9
20260501T133500Z,420,420,308,C,417.5,361,C,410,464,P,447.5,405,419.8679,250,417.5,405,420.25
20260501T163000Z,420,420,308,C,417.5,361,C,410,464,P,447.5,405,419.8681,250,417.5,405,420.17
20260501T195500Z,422.5,420,308,C,417.5,361,C,410,464,P,447.5,405,421.4016,250,417.5,405,422.46
20260504T120000Z,420,420,640,P,405,485,P,400,373,C,432.5,405,417.5863,250,405,405,418.85
20260504T133500Z,420,420,640,P,405,485,P,400,373,C,432.5,405,417.5875,250,405,405,418.9
20260504T163000Z,412.5,405,485,P,420,640,P,400,373,C,422.5,405,410.6232,250,420,420,411.53
20260504T195500Z,415,420,640,P,405,485,P,400,373,C,432.5,405,414.6368,250,420,405,415.8
20260505T120000Z,420,420,651,P,417.5,229,C,415,236,P,422.5,410,417.6732,180,412.5,420,419.255
20260505T133500Z,420,420,651,P,417.5,229,C,415,236,P,422.5,410,417.6716,180,412.5,435,419.75
20260505T163000Z,427.5,420,651,P,417.5,229,C,415,236,P,445,420,429.9295,180,420,420,428.14
20260505T195500Z,430,420,651,P,417.5,229,C,415,236,P,445,420,430.6227,180,420,420,430.855
20260506T120000Z,437.5,435,1207,C,440,6405,C,430,5250,C,450,420,443.0491,380,440,450,436.805
20260506T133500Z,437.5,435,1207,C,440,6405,C,430,5250,C,450,420,443.0476,380,440,450,436.525
20260506T163000Z,422.5,422.5,786,C,420,9212,C,425,1058,C,435,420,421.386,375,430,435,422.395
20260506T195500Z,422.5,422.5,786,C,425,1058,C,420,9212,C,435,410,421.3918,375,420,435,422.86
20260507T120000Z,427.5,425,255,C,432.5,337,C,435,374,C,432.5,410,423.1748,200,420,435,428.05
20260507T133500Z,422.5,425,2793,C,420,784,C,430,319,C,425,420,417.528,230,440,440,423.4
20260507T163000Z,425,425,2793,C,420,784,C,430,319,C,425,420,417.5274,230,440,440,423.92
20260507T195500Z,412.5,410,497,P,420,784,C,402.5,225,C,425,407.5,417.1043,230,425,425,412
20260508T120000Z,420,420,784,C,425,2793,C,410,497,P,425,410,417.7526,230,425,425,418.92
20260508T133500Z,420,420,1024,C,415,268,P,425,2559,C,435,412.5,432.7938,230,425,425,419.665
20260508T163000Z,422.5,420,1024,C,425,2559,C,427.5,215,C,435,412.5,432.7813,230,425,435,422.025
20260508T195500Z,427.5,427.5,215,C,430,252,C,425,2559,C,435,425,432.7506,230,425,440,428.645
20260511T120000Z,425,425,221,C,420,391,P,415,259,P,427.5,417.5,425.9899,210,420,417.5,425.245
20260511T133500Z,427.5,425,221,C,420,391,P,415,259,P,427.5,417.5,425.9741,210,420,417.5,427
20260511T163000Z,430,425,221,C,420,391,P,415,259,P,442.5,417.5,429.0989,210,420,417.5,429.97
20260511T195500Z,427.5,425,221,C,420,391,P,415,259,P,432.5,417.5,429.1175,210,420,417.5,427.81
20260512T120000Z,425,425,347,C,420,401,P,417.5,272,P,432.5,412.5,423.3263,210,410,410,423.845
20260512T133500Z,425,425,347,C,420,401,P,432.5,204,C,432.5,425,423.3043,210,420,410,426.25
20260512T163000Z,415,415,354,P,417.5,272,P,420,401,P,422.5,410,420.4809,210,410,430,415.695
20260512T195500Z,415,415,354,P,417.5,272,P,410,602,P,422.5,410,420.491,210,410,425,414.835
