t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260526T120000Z,52,52,4081,C,52.5,1870,C,51.5,2432,C,53,51,51.0514,52,51,53,52.085
20260526T133500Z,52,52,4081,C,52.5,1870,C,51.5,2432,C,53,51,51.0514,52,51,53,52.085
20260526T163000Z,52,52,4081,C,52.5,1870,C,51.5,2432,C,53,51,51.0514,52,51,53,52.085
20260526T195500Z,52,52,4081,C,52.5,1870,C,51.5,2432,C,53,51,51.0514,52,51,53,52.085
20260527T120000Z,52.5,52.5,590,C,52,3148,P,53,1565,C,54,51,51.4872,49,54,54,52.34
20260527T133500Z,52.5,52.5,590,C,52,3148,P,53,1565,C,54,51,51.4872,49,54,54,52.34
20260527T163000Z,52.5,52.5,590,C,52,3148,P,53,1565,C,54,51,51.4872,49,54,54,52.34
20260527T195500Z,52.5,52.5,590,C,52,3148,P,53,1565,C,54,51,51.4872,49,54,54,52.34
20260528T120000Z,51,51,2197,P,51.5,2356,C,50.5,946,P,51.5,50.5,50.9451,50,52,54,51.1
20260528T133500Z,51,51,2197,P,51.5,2356,C,50.5,946,P,51.5,50.5,50.9451,50,52,54,51.1
20260528T163000Z,51,51,2197,P,51.5,2356,C,50.5,946,P,51.5,50.5,50.9451,50,52,54,51.1
20260528T195500Z,51,51,2197,P,51.5,2356,C,50.5,946,P,51.5,50.5,50.9451,50,52,54,51.1
20260529T120000Z,51,51,2197,P,50.5,946,P,51.5,2356,C,53,50,51.4174,50,52,50,50.84
20260529T133500Z,51,51,2197,P,50.5,946,P,51.5,2356,C,53,50,51.4174,50,52,50,50.84
20260529T163000Z,51,51,2197,P,50.5,946,P,51.5,2356,C,53,50,51.4174,50,52,50,50.84
20260529T195500Z,51,51,2197,P,50.5,946,P,51.5,2356,C,53,50,51.4174,50,52,50,50.84
20260601T120000Z,51,51,2924,P,51.5,3805,C,50.5,2004,P,52,50.5,51.4497,52,52,52,51.25
20260601T133500Z,51,51,2924,P,51.5,3805,C,50.5,2004,P,52,50.5,51.4497,52,52,52,51.25
20260601T163000Z,51,51,2924,P,51.5,3805,C,50.5,2004,P,52,50.5,51.4497,52,52,52,51.25
20260601T195500Z,51,51,2924,P,51.5,3805,C,50.5,2004,P,52,50.5,51.4497,52,52,52,51.25
20260608T120000Z,54,54,5062,C,53,4420,C,52.5,1553,C,55,47,51.5388,55,55,55,53.615
20260608T195500Z,54,54,5062,C,53,4420,C,52.5,1553,C,55,47,51.5388,55,55,55,53.665
20260609T120000Z,54,54,5791,C,53,8691,C,52.5,60584,C,55,47,52.0574,45,55,55,53.665
20260609T133500Z,54,54,5791,C,53,8691,C,52.5,60584,C,55,47,52.0574,45,55,55,53.665
20260609T163000Z,55,55,98390,C,54,5791,C,56,3666,C,55,47,52.0574,45,55,55,54.505
20260609T195500Z,54,54,5791,C,55,98390,C,53,8691,C,55,47,52.0574,45,55,55,54.115
20260610T120000Z,47,47,109703,P,46.5,348,P,47.5,3694,P,55,42,,45,45,55,46.785
20260610T133500Z,47,47,109703,P,46.5,348,P,47.5,3694,P,55,42,,45,45,55,46.785
20260610T163000Z,55,55,98390,C,54,5791,C,56,3666,C,55,47,52.0574,45,52.5,55,54.775
20260616T195500Z,57,57,17306,C,56,11220,C,57.5,23777,C,57,55,57.4452,45,55,55,56.725
20260617T133500Z,57.5,57.5,22912,C,57,17463,C,58,10653,C,58,57,57.8755,45,55,52.5,57.415
20260617T163000Z,57.5,57.5,22912,C,57,17463,C,58,10653,C,58,57,57.8826,45,55,55,57.415
20260618T120000Z,53,53,10863,C,52.5,60905,C,54,14245,C,58,40,53.5101,45,55,57.5,53.25
20260618T133500Z,57,57,18535,C,57.5,22905,C,58,12485,C,58,57,57.677,45,55,52.5,57.22
20260618T163000Z,56,56,16736,C,57,18535,C,57.5,22905,C,57,47.5,57.4684,45,55,57,56.445
20260618T195500Z,56,56,16736,C,57,18535,C,55,60536,C,70,56,51.9918,45,55,55,56.165
20260622T120000Z,53,53,2601,C,54,3948,P,52.5,381,P,59,52,52.8667,56,55,58,53.375
20260622T133500Z,53,53,2601,C,54,3948,P,52.5,381,P,59,52,52.8667,56,55,58,53.375
20260622T163000Z,58,58,11096,C,57,12598,C,59,2137,C,58,55,56.1066,57,56,57,57.56
