t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260511T120000Z,200,200,12452,C,197.5,13819,C,202.5,2653,C,200,187.5,187.905,220,197.5,207.5,199.125
20260511T133500Z,200,200,12452,C,197.5,13819,C,202.5,2653,C,200,187.5,187.8995,220,197.5,207.5,199.3
20260511T163000Z,200,200,12452,C,197.5,13819,C,202.5,2653,C,200,187.5,187.8995,220,197.5,207.5,199.3
20260511T195500Z,210,210,13613,C,207.5,12125,C,212.5,1121,C,210,187.5,,220,207.5,207.5,209.65
20260512T120000Z,212.5,212.5,1340,C,210,13557,C,215,2990,C,215,210,212.5077,225,207.5,220,211.905
20260512T133500Z,212.5,212.5,1340,C,215,2990,C,210,13557,C,215,210,212.5068,225,210,220,212.775
20260512T163000Z,212.5,212.5,1340,C,215,2990,C,210,13557,C,215,210,212.5068,225,210,220,212.775
20260512T195500Z,205,205,4736,C,202.5,2503,C,207.5,13011,C,215,202.5,197.6509,225,207.5,210,204.655
20260513T120000Z,210,210,1433,C,207.5,663,C,212.5,373,C,215,202.5,209.6523,210,220,220,209.25
20260513T133500Z,210,210,1433,C,207.5,663,C,212.5,373,C,215,202.5,209.6523,210,220,220,209.25
20260513T163000Z,200,200,1607,C,202.5,484,C,197.5,467,C,205,195,203.7322,210,205,190,200.41
20260513T195500Z,200,200,1607,C,202.5,484,C,197.5,467,C,205,195,203.7322,210,205,190,200.41
20260514T120000Z,202.5,202.5,634,C,200,1650,C,205,1119,C,205,197.5,201.104,210,197.5,197.5,202.18
20260514T133500Z,200,200,1650,C,202.5,634,C,197.5,1254,P,205,197.5,201.1874,210,205,197.5,200.52
20260514T163000Z,200,200,1650,C,202.5,634,C,197.5,1254,P,205,197.5,201.1874,210,205,197.5,200.52
20260514T195500Z,200,200,1650,C,202.5,634,C,197.5,1254,P,205,197.5,201.1874,210,205,197.5,200.52
20260515T120000Z,212.5,212.5,382,C,210,1428,C,215,1602,C,220,197.5,198.0607,210,220,220,211.875
20260515T133500Z,212.5,212.5,382,C,210,1428,C,215,1602,C,220,197.5,198.0607,210,220,220,211.875
20260515T163000Z,212.5,212.5,382,C,210,1428,C,215,1602,C,220,197.5,198.0607,210,220,220,211.875
20260515T195500Z,197.5,197.5,1472,P,195,968,P,200,2324,P,202.5,192.5,201.6605,232.5,200,200,197.4
20260518T120000Z,190,190,2840,P,192.5,1553,P,187.5,647,P,197.5,187.5,191.4556,222.5,197.5,197.5,190.25
20260518T133500Z,192.5,192.5,1553,P,195,2906,P,190,2840,P,197.5,187.5,193.1022,222.5,197.5,197.5,193.5
20260518T163000Z,187.5,187.5,647,P,190,2840,P,185,1367,P,197.5,187.5,191.5851,222.5,195,197.5,188.59
20260518T195500Z,187.5,187.5,647,P,185,1367,P,190,2840,P,202.5,150,191.5174,222.5,210,210,186.595
20260519T120000Z,187.5,185,696,P,190,663,P,180,536,P,200,185,197.9503,227.5,190,200,187.25
20260519T133500Z,187.5,185,696,P,190,663,P,180,536,P,200,185,197.9503,227.5,190,200,187.25
20260519T163000Z,187.5,185,696,P,190,663,P,180,536,P,200,185,197.9503,227.5,190,200,187.25
20260519T195500Z,192.5,192.5,218,P,195,968,P,190,895,P,200,187.5,193.4952,220,200,187.5,193.125
20260520T195500Z,192.5,192.5,1115,C,195,1185,C,190,939,P,197.5,190,190.1179,215,200,197.5,193.265
20260521T120000Z,190,190,993,P,192.5,1565,C,187.5,999,P,197.5,185,194.7,207.5,197.5,197.5,190.33
20260521T133500Z,190,190,993,P,192.5,1565,C,187.5,999,P,197.5,185,194.7008,207.5,197.5,197.5,190.3
