t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260518T133500Z,395,347.5,697,P,340,760,P,315,619,P,405,387.5,393.1816,160,405,405,396.5
20260518T163000Z,400,347.5,697,P,340,760,P,315,619,P,405,400,402.2852,160,405,407.5,401.1
20260518T195500Z,400,347.5,697,P,340,760,P,315,619,P,405,387.5,402.295,160,405,407.5,398.975
20260519T120000Z,397.5,395,823,C,400,3362,C,390,2507,P,400,390,392.1438,385,390,410,397.265
20260519T133500Z,397.5,395,823,C,400,3362,C,390,2507,P,400,390,392.1438,385,390,410,397.265
20260519T163000Z,387.5,385,1070,C,390,1586,P,380,1602,P,390,385,387.4315,400,390,390,387.08
20260519T195500Z,390,390,1586,P,385,1070,C,395,813,C,390,385,387.4277,400,400,385,388.895
20260521T120000Z,390,365,621,P,355,787,P,430,897,C,390,375,392.1884,270,400,400,388.85
20260521T133500Z,387.5,365,621,P,355,787,P,430,897,C,390,375,392.1943,270,400,400,387.825
20260521T163000Z,390,400,503,C,355,626,C,220,522,P,470,300,385.4374,355,400,470,387.825
20260522T120000Z,392.5,395,1027,C,390,2884,C,400,1579,C,395,382.5,383.4897,395,390,390,393.56
20260522T133500Z,392.5,395,1027,C,390,2884,C,400,1579,C,395,382.5,383.4897,395,390,390,393.56
20260522T163000Z,392.5,395,1027,C,390,2884,C,400,1579,C,395,382.5,383.4897,395,390,390,393.56
20260522T195500Z,392.5,395,1027,C,390,2884,C,400,1579,C,395,382.5,383.4897,395,390,390,393.56
20260526T120000Z,385,385,633,P,372.5,744,P,362.5,2166,P,390,385,387.3078,170,372.5,372.5,385.59
20260526T133500Z,385,385,633,P,360,569,P,355,619,P,390,372.5,387.3122,170,380,372.5,384.9
20260526T163000Z,385,385,633,P,360,569,P,355,619,P,390,372.5,387.3122,170,380,372.5,384.9
20260526T195500Z,385,385,633,P,360,569,P,355,619,P,390,372.5,387.3122,170,380,372.5,384.9
20260527T120000Z,387.5,387.5,1619,C,385,2989,C,390,3479,C,390,385,386.9077,395,390,390,386.61
20260527T133500Z,387.5,387.5,1619,C,385,2989,C,390,3479,C,390,385,386.9077,395,390,390,386.61
20260527T163000Z,387.5,387.5,1619,C,385,2989,C,390,3479,C,390,385,386.9077,395,390,390,386.61
20260527T195500Z,387.5,387.5,1619,C,385,2989,C,390,3479,C,390,385,386.9077,395,390,390,386.61
20260528T120000Z,387.5,120,1093,P,,,,,,,400,385,387.4764,310,400,400,386.855
20260528T133500Z,385,120,1093,P,,,,,,,390,380,,295,410,410,387.295
20260528T163000Z,385,120,1093,P,,,,,,,390,380,,295,410,410,387.295
20260528T195500Z,385,120,1093,P,,,,,,,390,380,,295,410,410,387.295
20260529T120000Z,387.5,120,1094,P,,,,,,,392.5,380,387.2245,315,385,392.5,387.49
20260529T133500Z,385,120,1094,P,,,,,,,392.5,380,387.2338,315,390,392.5,386.12
20260529T163000Z,385,120,1094,P,,,,,,,392.5,380,387.2338,315,390,392.5,386.12
20260529T195500Z,385,120,1094,P,,,,,,,392.5,380,387.2338,315,390,392.5,386.12
20260601T120000Z,377.5,320,851,P,437.5,608,C,140,1042,P,390,365,380.1719,130,390,390,378.565
20260601T133500Z,375,320,851,P,437.5,608,C,140,1042,P,382.5,365,373.2748,130,390,390,375.78
20260601T163000Z,375,320,851,P,437.5,608,C,140,1042,P,382.5,365,373.2748,130,390,390,375.78
20260601T195500Z,375,320,851,P,437.5,608,C,140,1042,P,382.5,365,373.2748,130,390,390,375.78
20260602T120000Z,375,320,851,P,437.5,608,C,140,1042,P,382.5,365,373.2748,130,390,390,375.78
20260608T120000Z,365,360,2094,C,345,717,P,455,614,C,385,360,364.6347,290,360,385,364.525
20260608T133500Z,365,360,2094,C,345,717,P,455,614,C,385,360,364.6347,290,360,385,364.525
20260608T163000Z,362.5,360,2130,C,345,708,P,455,614,C,365,345,357.5417,360,360,360,363.38
20260608T195500Z,362.5,360,2130,C,345,708,P,455,614,C,365,345,357.5423,360,360,360,362.74
20260609T120000Z,382.5,382.5,1554,P,380,15351,C,385,7418,C,400,375,382.3593,325,380,400,381.38
20260609T133500Z,370,370,12788,C,365,8791,C,375,8837,P,380,360,377.2388,325,360,380,368.8
20260609T163000Z,370,370,12788,C,365,8791,C,375,8837,P,380,360,377.2388,325,360,380,368.8
20260609T195500Z,360,360,19634,P,355,7756,P,365,8791,C,380,355,342.4978,325,340,380,357.605
20260610T120000Z,377.5,377.5,869,C,382.5,1554,P,387.5,1463,C,387.5,337.5,,215,290,382.5,361.13
20260610T133500Z,377.5,377.5,869,C,382.5,1554,P,387.5,1463,C,387.5,337.5,,215,377.5,382.5,363.48
20260610T163000Z,377.5,377.5,869,C,382.5,1554,P,387.5,1463,C,387.5,337.5,,215,382.5,382.5,360.78
20260616T195500Z,372.5,372.5,789,C,370,2238,C,375,2927,C,375,360,361.1433,375,360,375,372.33
20260617T120000Z,372.5,372.5,7012,C,375,3531,C,370,2978,C,380,367.5,371.2792,377.5,380,380,372.55
