t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260420T205335Z,437.5,415,422.1536,437.5,430,475,450,330
20260420T210603Z,437.5,415,422.1536,437.5,430,475,450,330
20260420T230535Z,437.5,417.5,422.1503,437.5,430,475,450,330
20260421T011514Z,,,,,,437.5,417.5,422.1367,475,430,437.5,
20260421T020301Z,,,,,,,,,,,437.5,417.5,422.1367,475,430,437.5,
20260421T022041Z,420,420,2116,C,417.5,930,C,425,1671,C,437.5,417.5,422.1367,475,430,437.5,420.185
20260429T163004Z,425,425,1689,C,420,2472,C,430,1776,C,430,420,423.8693,430,420,410,424.8
20260429T195500Z,425,425,1689,C,420,2472,C,430,1776,C,430,420,423.8712,430,420,410,424.16
20260430T120000Z,415,340,816,P,335,1167,P,325,1386,P,422.5,410,418.3478,325,425,425,416.18
20260430T133500Z,420,340,816,P,335,1167,P,325,1386,P,422.5,410,418.3261,325,425,425,418.785
20260430T163000Z,402.5,340,816,P,335,1167,P,325,1386,P,422.5,402.5,406.5562,325,410,422.5,402.55
20260430T195500Z,407.5,340,816,P,335,1167,P,325,1386,P,422.5,402.5,408.1747,325,425,422.5,407.39
20260501T120000Z,410,340,823,P,335,1204,P,325,1390,P,410,397.5,399.7374,340,405,420,409.34
20260501T133500Z,412.5,340,823,P,335,1204,P,325,1390,P,420,397.5,399.7236,340,420,420,411.73
20260501T163000Z,415,340,823,P,335,1204,P,325,1390,P,420,397.5,399.7119,340,420,420,414.075
20260501T195500Z,415,340,823,P,335,1204,P,325,1390,P,420,397.5,399.6985,340,410,420,416.18
20260504T120000Z,412.5,370,1225,P,357.5,2828,P,350,540,C,440,407.5,412.3157,347.5,425,402.5,412.135
20260504T133500Z,412.5,370,1225,P,357.5,2828,P,350,540,C,440,407.5,412.3113,347.5,425,402.5,413.535
20260504T163000Z,417.5,370,1225,P,357.5,2828,P,350,540,C,440,407.5,419.7296,347.5,425,402.5,416.435
20260504T195500Z,412.5,370,1225,P,357.5,2828,P,350,540,C,440,407.5,412.3144,347.5,425,402.5,413.575
20260505T120000Z,415,370,1224,P,357.5,2828,P,350,540,C,422.5,407.5,417.197,350,425,402.5,414.92
20260505T133500Z,415,370,1224,P,357.5,2828,P,350,540,C,422.5,415,417.1913,350,425,402.5,415.99
20260505T163000Z,410,370,1224,P,357.5,2828,P,350,540,C,422.5,390,404.6886,350,420,390,409.19
20260505T195500Z,412.5,370,1224,P,357.5,2828,P,350,540,C,422.5,407.5,417.2106,350,425,402.5,412.42
20260506T120000Z,412.5,412.5,1959,C,410,18910,C,415,9950,C,417.5,407.5,410.1057,450,400,427.5,411.5
20260506T133500Z,405,405,11171,P,407.5,2193,P,402.5,995,P,417.5,400,405.2254,450,400,422.5,406.005
20260506T163000Z,405,405,11171,P,407.5,2193,P,402.5,995,P,417.5,400,405.2254,450,400,422.5,406.005
20260506T195500Z,412.5,412.5,1959,C,415,9950,C,410,18910,C,417.5,407.5,410.1325,450,400,427.5,413.07
20260507T120000Z,415,410,1349,P,357.5,2830,P,480,7047,C,420,410,412.0912,630,410,420,414.57
20260507T133500Z,420,410,1349,P,480,7047,C,357.5,2830,P,420,410,412.065,630,410,410,418.81
20260507T163000Z,425,410,1349,P,480,7047,C,485,2537,C,442.5,410,433.2017,630,410,310,424.745
