t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260518T163000Z,87,87,7190,P,88,21472,P,86,6700,P,88,86,86.8618,95,88,90,87.15
20260518T195500Z,87,87,7190,P,88,21472,P,86,6700,P,88,86,86.8618,95,88,90,87.15
20260519T120000Z,88,88,3236,C,89,2762,C,87,5451,C,89,85,86.5216,101,90,95,88.3
20260519T133500Z,88,88,3236,C,89,2762,C,87,5451,C,89,85,86.5216,101,90,95,88.3
20260519T163000Z,88,88,3236,C,89,2762,C,87,5451,C,89,85,86.5216,101,90,95,88.3
20260520T195500Z,88,88,3768,C,87,5357,P,89,3131,C,91,87,87.5773,100,90,91,87.805
20260521T120000Z,88,88,5194,C,87,5597,P,89,4581,C,88,85,87.0747,100,90,90,87.855
20260521T133500Z,88,88,5194,C,89,4581,C,87,5597,P,90,86,87.0684,100,90,90,88.315
20260521T163000Z,88,88,5194,C,89,4581,C,87,5597,P,90,86,87.0684,100,90,90,88.315
20260526T120000Z,88,88,7402,C,89,12634,C,87,6443,P,89,88,88.1872,100,90,89,88.295
20260526T133500Z,88,88,7402,C,89,12634,C,87,6443,P,89,88,88.1872,100,90,89,88.295
20260526T163000Z,88,88,7402,C,89,12634,C,87,6443,P,89,88,88.1872,100,90,89,88.295
20260526T195500Z,88,88,7402,C,89,12634,C,87,6443,P,89,88,88.1872,100,90,89,88.295
20260527T120000Z,87,87,1924,P,88,2629,C,86,1681,P,88,86,86.8863,95,90,90,87.165
20260527T133500Z,87,87,1924,P,88,2629,C,86,1681,P,88,86,86.8863,95,90,90,87.165
20260527T163000Z,87,87,1924,P,88,2629,C,86,1681,P,88,86,86.8863,95,90,90,87.165
20260527T195500Z,87,87,1924,P,88,2629,C,86,1681,P,88,86,86.8863,95,90,90,87.165
20260528T120000Z,88,88,4034,C,87,2215,P,89,3856,C,89,85,85.9895,95,90,89,87.55
20260528T133500Z,87,87,2215,P,88,4034,C,86,2094,P,89,85,85.9896,95,89,89,87.415
20260528T163000Z,87,87,2215,P,88,4034,C,86,2094,P,89,85,85.9896,95,89,89,87.415
20260528T195500Z,87,87,2215,P,88,4034,C,86,2094,P,89,85,85.9896,95,89,89,87.415
20260529T120000Z,86,86,3993,P,87,8124,C,85,6851,P,87,85,85.9137,94,88,87,86.175
20260529T133500Z,87,87,8124,C,86,3993,P,88,7455,C,87,85,85.9058,94,88,87,86.525
20260529T163000Z,87,87,8124,C,86,3993,P,88,7455,C,87,85,85.9058,94,88,87,86.525
20260529T195500Z,87,87,8124,C,86,3993,P,88,7455,C,87,85,85.9058,94,88,87,86.525
20260601T120000Z,86,86,7210,C,87,12364,C,85,8552,P,87,85,85.379,93,88,88,86.19
20260601T133500Z,86,86,7210,C,87,12364,C,85,8552,P,87,85,85.379,93,88,88,86.19
20260608T120000Z,83,83,6960,C,82,5396,C,84,6734,C,87,80,81.8329,90,87,90,82.8
20260608T133500Z,83,83,6960,C,82,5396,C,84,6734,C,87,80,81.8329,90,87,90,82.8
20260608T163000Z,83,83,6960,C,82,5396,C,84,6734,C,87,80,81.8329,90,87,90,82.8
20260608T195500Z,82,82,5396,C,83,6960,C,81,5626,P,87,80,81.8329,90,86,87,82.115
20260609T120000Z,84,84,13144,P,85,26257,P,83,10217,P,92,82,88.4309,100,82,92,84.5
20260609T133500Z,84,84,13144,P,85,26257,P,83,10217,P,92,82,88.4309,100,82,92,84.5
20260609T163000Z,82,82,23248,P,81,9560,P,83,10217,P,90,79,88.4309,100,90,92,81.925
20260609T195500Z,82,82,23248,P,81,9560,P,83,10217,P,92,79,88.4309,100,90,92,81.76
20260610T120000Z,102,102,6370,P,103,6747,C,101,3925,C,110,82,103.9561,100,103,100,102.465
20260610T133500Z,83,83,10217,P,82,23248,P,84,13144,P,92,82,88.4309,100,90,92,82.89
20260610T163000Z,83,83,10217,P,82,23248,P,84,13144,P,92,82,88.4309,100,90,92,82.565
20260616T195500Z,79,79,12338,P,78,12460,P,80,22176,P,82,77,80.7557,100,82,77,78.73
20260617T120000Z,77,77,12097,P,76,5755,P,78,15283,P,80,75,77.2492,105,80,82,77
20260617T133500Z,78,78,15283,P,79,16591,P,77,12097,P,80,75,77.1809,105,80,75,78.095
