t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260430T120000Z,210,210,906,C,212.5,4633,C,207.5,9983,P,212.5,202.5,204.9532,125,207.5,202.5,210.585
20260430T133500Z,210,210,906,C,212.5,4633,C,207.5,9983,P,212.5,202.5,204.9519,125,207.5,202.5,210.67
20260430T163000Z,200,202.5,5339,C,197.5,11727,P,207.5,9983,P,207.5,192.5,197.8547,125,197.5,202.5,200.505
20260430T195500Z,200,202.5,5339,C,197.5,11727,P,207.5,9983,P,207.5,192.5,197.8404,125,197.5,202.5,201.005
20260501T120000Z,200,200,1273,C,202.5,16327,C,197.5,12647,P,212.5,192.5,195.0281,202.5,197.5,212.5,201.155
20260501T133500Z,200,200,1273,C,202.5,16327,C,197.5,12647,P,207.5,192.5,195.0286,202.5,197.5,212.5,200.845
20260501T163000Z,200,200,1273,C,205,2260,C,190,1035,P,205,190,,100,205,205,198.75
20260501T195500Z,200,200,1273,C,205,2260,C,190,1035,P,205,190,,100,205,205,199.71
20260504T120000Z,197.5,200,743,C,205,815,C,190,898,P,200,190,197.7863,100,205,190,198.05
20260504T133500Z,200,200,743,C,205,815,C,190,898,P,200,190,197.7698,100,205,190,198.99
20260504T163000Z,197.5,200,743,C,190,898,P,205,815,C,200,190,197.8141,100,200,185,196.42
20260504T195500Z,197.5,200,743,C,205,815,C,190,898,P,200,190,197.7755,100,205,190,198.68
20260505T120000Z,197.5,200,1595,C,195,1204,P,205,1360,C,200,195,197.3564,100,195,195,198.74
20260505T133500Z,200,200,1595,C,195,1204,P,205,1360,C,200,195,197.3504,100,195,195,199.215
20260505T163000Z,197.5,200,1595,C,195,1204,P,205,1360,C,200,195,197.3689,100,200,195,197.585
20260505T195500Z,197.5,195,1204,P,200,1595,C,190,1468,P,200,195,197.3829,100,200,190,196.26
20260506T120000Z,200,200,130951,C,202.5,20346,C,197.5,13637,P,202.5,200,202.0764,195,200,200,201.18
20260506T133500Z,200,200,130951,C,202.5,20346,C,197.5,13637,P,202.5,200,202.1058,195,195,202.5,200.13
20260506T163000Z,200,200,130951,C,197.5,13637,P,202.5,20346,C,202.5,195,197.5634,195,195,200,199.165
20260506T195500Z,200,200,130951,C,197.5,13637,P,202.5,20346,C,202.5,195,197.5634,195,195,200,199.165
20260507T120000Z,207.5,207.5,19525,C,210,5524,C,205,8484,C,212.5,197.5,217.4165,187.5,212.5,205,208.625
20260507T133500Z,207.5,207.5,19525,C,210,5524,C,205,8484,C,212.5,197.5,199.2473,187.5,202.5,205,207.98
20260507T163000Z,212.5,212.5,20853,C,210,5524,C,215,4514,C,220,197.5,217.3597,187.5,202.5,205,211.26
20260507T195500Z,212.5,212.5,20853,C,210,5524,C,215,4514,C,220,197.5,217.3565,187.5,202.5,205,212.085
20260508T120000Z,212.5,212.5,20577,C,215,9427,C,210,5860,C,217.5,212.5,213.5228,202.5,217.5,217.5,213.675
20260508T133500Z,212.5,212.5,20577,C,215,9427,C,210,5860,C,217.5,212.5,213.5228,202.5,217.5,217.5,213.675
20260508T163000Z,215,215,9427,C,217.5,73061,C,212.5,20577,C,217.5,202.5,213.6038,202.5,217.5,217.5,215.89
20260508T195500Z,215,215,9427,C,217.5,73061,C,212.5,20577,C,217.5,202.5,213.6115,202.5,217.5,217.5,215.07
20260511T120000Z,212.5,212.5,21628,C,215,10494,C,210,4733,C,227.5,202.5,218.3181,205,217.5,227.5,213.32
20260511T133500Z,215,215,10494,C,212.5,21628,C,217.5,75289,C,220,212.5,217.9929,205,217.5,227.5,213.895
20260511T163000Z,222.5,222.5,10578,C,220,16054,C,225,7701,C,227.5,202.5,217.8633,205,217.5,227.5,221.43
20260511T195500Z,222.5,222.5,10578,C,220,16054,C,225,7701,C,227.5,202.5,217.8633,205,217.5,227.5,221.43
20260512T120000Z,217.5,217.5,74674,C,215,10090,C,220,15425,C,237.5,212.5,224.0687,207.5,207.5,237.5,217.41
20260512T133500Z,220,220,15425,C,217.5,74674,C,222.5,13005,C,230,217.5,223.3733,207.5,217.5,212.5,219.005
20260512T163000Z,220,220,15425,C,217.5,74674,C,222.5,13005,C,230,217.5,223.3733,207.5,217.5,212.5,219.005
20260512T195500Z,220,220,15425,C,215,10090,C,225,8831,C,230,210,,110,230,230,218.48
20260513T120000Z,225,225,20594,C,222.5,7284,C,227.5,5297,C,227.5,220,221.6762,222.5,230,200,224.96
20260513T133500Z,225,225,20594,C,227.5,5297,C,222.5,7284,C,227.5,220,221.8128,222.5,220,220,225.14
20260513T163000Z,222.5,222.5,7284,C,220,41471,C,225,20594,C,227.5,220,221.9048,222.5,215,227.5,221.72
20260513T195500Z,222.5,222.5,7284,C,220,41471,C,225,20594,C,227.5,220,221.9048,222.5,215,227.5,221.72
20260514T120000Z,230,230,1583,C,235,1899,C,225,691,C,235,210,215.0543,110,240,300,230.785
20260514T133500Z,230,230,1970,C,235,2119,C,225,1263,C,240,220,222.2297,135,235,220,230.79
20260514T163000Z,230,230,1970,C,235,2119,C,225,1263,C,240,220,222.2297,135,235,220,230.79
20260514T195500Z,235,235,2119,C,240,1768,C,230,1970,C,250,220,222.3267,135,215,215,235.59
20260515T163000Z,225,225,628,C,230,950,C,235,4275,P,240,225,231.2799,105,235,235,226.76
20260515T195500Z,230,230,950,C,225,628,C,235,4275,P,240,225,231.2834,105,235,235,228.99
20260518T120000Z,225,225,628,C,230,950,C,235,4275,P,230,210,,105,235,235,226.79
20260518T133500Z,227.5,230,1222,C,225,777,C,235,4604,P,230,222.5,222.9936,110,235,235,228.125
20260518T163000Z,225,225,777,C,220,679,C,230,1222,C,227.5,215,223.1073,110,235,250,224.47
20260518T195500Z,220,220,679,C,225,777,C,215,593,P,227.5,215,221.8986,110,235,115,220.56
20260519T120000Z,222.5,222.5,886,C,225,12686,C,220,18466,C,230,217.5,217.598,220,220,230,222.965
20260519T133500Z,222.5,222.5,886,C,225,12686,C,220,18466,C,230,217.5,217.598,220,220,230,222.965
20260519T163000Z,220,220,24952,C,217.5,1645,P,222.5,2126,C,227.5,205,216.3361,227.5,200,265,219.2
20260519T195500Z,222.5,222.5,2126,C,225,14727,C,220,24952,C,232.5,205,216.3231,227.5,210,265,223.345
20260521T120000Z,225,225,2287,C,222.5,1425,P,227.5,589,C,225,222.5,222.9793,260,222.5,230,224.12
20260521T133500Z,222.5,222.5,1425,P,220,1152,C,225,2287,C,225,220,223.0353,260,225,225,221.925
20260521T163000Z,222.5,222.5,1425,P,220,1152,C,225,2287,C,225,220,223.0353,260,225,225,221.925
20260522T120000Z,220,222.5,1425,P,225,884,C,227.5,589,C,225,210,223.5708,125,225,227.5,220.91
20260522T133500Z,220,222.5,1425,P,225,884,C,227.5,589,C,225,210,223.5708,125,225,227.5,220.91
20260522T163000Z,220,222.5,1425,P,225,884,C,227.5,589,C,225,210,223.5708,125,225,227.5,220.91
20260522T195500Z,220,222.5,1425,P,225,884,C,227.5,589,C,225,210,223.5708,125,225,227.5,220.91
20260526T120000Z,217.5,217.5,606,P,220,1663,C,222.5,1899,C,220,210,217.6142,120,222.5,222.5,217.815
20260526T133500Z,217.5,217.5,1314,C,220,2517,C,215,1553,P,230,207.5,215.2418,125,222.5,230,218.135
20260526T163000Z,217.5,217.5,1314,C,220,2517,C,215,1553,P,230,207.5,215.2418,125,222.5,230,218.135
20260526T195500Z,217.5,217.5,1314,C,220,2517,C,215,1553,P,230,207.5,215.2418,125,222.5,230,218.135
20260527T120000Z,217.5,217.5,7828,C,215,12200,C,220,31503,C,220,207.5,222.3822,217.5,220,220,216.3
20260527T133500Z,217.5,217.5,7828,C,215,12200,C,220,31503,C,220,207.5,222.3822,217.5,220,220,216.3
20260527T163000Z,217.5,217.5,7828,C,215,12200,C,220,31503,C,220,207.5,222.3822,217.5,220,220,216.3
20260527T195500Z,217.5,217.5,7828,C,215,12200,C,220,31503,C,220,207.5,222.3822,217.5,220,220,216.3
20260528T120000Z,210,210,1228,C,212.5,6785,C,207.5,3382,P,217.5,205,207.7136,222.5,217.5,217.5,210.45
20260528T133500Z,212.5,212.5,6785,C,210,1228,C,215,2416,C,222.5,197.5,208.1176,222.5,222.5,222.5,211.65
20260528T163000Z,212.5,212.5,6785,C,210,1228,C,215,2416,C,222.5,197.5,208.1176,222.5,222.5,222.5,211.65
20260528T195500Z,212.5,212.5,6785,C,210,1228,C,215,2416,C,222.5,197.5,208.1176,222.5,222.5,222.5,211.65
20260529T120000Z,215,215,3072,C,212.5,827,C,220,2085,C,220,205,207.8194,110,220,220,215.315
20260529T133500Z,215,215,3072,C,212.5,827,C,210,1288,C,215,205,207.8305,110,220,220,214.735
20260529T163000Z,215,215,3072,C,212.5,827,C,210,1288,C,215,205,207.8305,110,220,220,214.735
20260529T195500Z,215,215,3072,C,212.5,827,C,210,1288,C,215,205,207.8305,110,220,220,214.735
