t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260504T120000Z,149,149,11533,C,148,3478,C,150,15719,C,150,140,143.0182,150,145,150,148.79
20260504T133500Z,147,147,1290,C,146,6280,C,148,3478,C,150,140,143.0211,150,150,150,146.9
20260504T163000Z,146,146,6280,C,147,1290,C,145,12371,C,150,140,143.0223,150,150,150,146.495
20260504T195500Z,147,147,1290,C,146,6280,C,148,3478,C,150,140,143.0215,150,150,150,146.86
20260505T120000Z,142,142,15305,C,141,1391,P,143,2877,P,147,140,146.3286,148,145,140,141.655
20260505T133500Z,144,144,2914,C,145,14502,C,143,2877,P,147,144,146.2635,148,142,140,144.025
20260505T163000Z,136,136,1932,P,135,10596,P,137,1955,P,147,135,,148,140,130,135.62
20260505T195500Z,136,136,1932,P,135,10596,P,137,1955,P,147,135,,148,135,130,135.765
20260506T120000Z,135,135,14087,P,136,2058,C,134,1732,P,140,130,134.0341,150,140,140,135.19
20260506T133500Z,136,136,2058,C,137,1888,C,135,14087,P,140,130,134.0322,150,140,140,136.07
20260506T163000Z,134,134,1732,P,135,14087,P,130,23341,P,135,130,134.0398,150,130,135,132.995
20260506T195500Z,134,134,1732,P,135,14087,P,130,23341,P,135,130,134.0398,150,130,135,132.995
20260507T120000Z,134,134,1969,P,135,14994,P,133,777,C,137,132,132.3152,150,140,137,134.375
20260507T133500Z,136,136,2874,C,137,16413,C,135,14994,P,137,132,132.2873,150,140,142,136.055
20260507T163000Z,139,139,2110,C,140,29328,P,138,4915,C,142,132,140.6685,150,137,142,139.145
20260507T195500Z,137,137,16413,C,138,4915,C,136,2874,C,142,132,140.6998,150,140,142,137.175
20260508T120000Z,137,137,16845,C,138,6144,C,136,2645,C,140,136,137.416,150,140,140,137.09
20260508T133500Z,137,137,16845,C,138,6144,C,136,2645,C,140,136,137.416,150,140,140,137.09
20260508T163000Z,136,136,2645,C,135,20197,C,137,16845,C,140,133,135.9007,150,140,140,135.865
20260508T195500Z,135,135,20197,C,136,2645,C,134,1935,P,140,133,135.9046,150,140,140,135.3
20260511T120000Z,136,136,4878,C,137,18455,C,135,19030,P,140,135,135.8145,150,140,132,136.375
20260511T133500Z,136,136,4878,C,137,18455,C,135,19030,P,140,135,135.8173,150,140,132,136.19
20260511T163000Z,134,134,3013,P,135,19030,P,133,1738,P,137,132,135.8433,150,137,132,134.445
20260511T195500Z,134,134,3013,P,135,19030,P,133,1738,P,137,132,135.8433,150,137,132,134.445
20260512T120000Z,135,135,20796,P,134,4195,P,136,6222,C,135,132,134.2543,149,137,130,134.945
20260512T133500Z,136,136,6222,C,135,20796,P,137,19805,C,138,132,134.2389,149,140,140,135.555
20260512T163000Z,136,136,6222,C,135,20796,P,137,19805,C,138,132,134.2389,149,140,140,135.555
20260512T195500Z,134,134,4195,P,135,20796,P,133,4434,C,135,132,134.2682,149,137,130,134.23
20260513T120000Z,136,136,1097,C,135,3503,P,137,1501,C,138,131,135.897,140,140,139,135.565
20260513T133500Z,134,134,1094,P,135,3503,P,133,1129,P,138,131,134.3113,140,130,138,134.435
20260513T163000Z,132,132,993,P,133,1129,P,131,942,P,138,131,132.1512,140,130,138,132.285
20260513T195500Z,132,132,993,P,133,1129,P,131,942,P,138,131,132.1512,140,130,138,132.285
20260514T120000Z,131,131,942,P,130,6235,P,132,993,P,137,130,135.8243,140,135,125,130.66
20260514T133500Z,131,131,2415,C,130,8325,P,132,2686,C,133,128,129.1428,138,135,138,131
20260514T163000Z,131,131,2415,C,130,8325,P,132,2686,C,133,128,129.1428,138,135,138,131
20260514T195500Z,133,133,5873,C,134,4777,C,132,2686,C,134,128,129.1196,138,130,138,133.35
20260515T120000Z,134,134,4777,C,133,5873,C,135,6587,C,134,130,130.907,138,130,138,133.515
20260515T133500Z,134,134,4777,C,133,5873,C,135,6587,C,134,130,130.907,138,130,138,133.515
20260515T195500Z,135,135,7128,C,134,5097,C,136,1434,C,137,131,134.5613,138,138,137,134.98
20260518T120000Z,132,132,2999,C,133,6246,C,131,2391,P,133,130,131.3332,138,130,138,132.26
20260518T133500Z,133,133,7688,C,132,3251,C,134,5966,C,137,130,133.5763,139,130,137,132.935
20260518T163000Z,135,135,9561,C,134,5966,C,136,4697,C,137,130,134.0832,139,137,137,134.52
20260518T195500Z,134,134,5966,C,133,7688,C,135,9561,C,137,130,133.5605,139,137,137,133.705
20260519T120000Z,134,134,2183,P,135,4908,P,133,1010,P,140,130,135.0832,145,130,140,134.33
20260519T133500Z,134,134,2183,P,135,4908,P,133,1010,P,140,130,135.0832,145,130,140,134.33
20260519T163000Z,135,135,5304,C,134,2584,P,136,1718,C,137,130,132.3156,145,140,137,134.54
20260519T195500Z,136,136,1718,C,135,5304,C,137,1061,C,137,130,132.3033,145,140,137,135.535
20260520T195500Z,136,136,1948,C,135,5593,C,137,1278,C,140,134,136.0138,145,140,140,135.845
20260521T120000Z,135,135,7102,C,136,2324,C,134,2762,P,140,130,136.6472,145,140,140,135.5
20260521T133500Z,136,136,2324,C,135,7102,C,137,1529,C,140,130,136.6465,145,140,140,135.53
20260521T163000Z,136,136,2324,C,135,7102,C,137,1529,C,140,130,136.6465,145,140,140,135.53
20260522T163000Z,136,136,9126,C,135,12898,C,137,16561,C,140,135,139.8635,142,135,135,135.55
20260522T195500Z,136,136,9126,C,135,12898,C,137,16561,C,140,135,139.8635,142,135,135,135.55
20260526T120000Z,136,136,4323,P,137,2720,C,135,8399,P,140,136,137.0133,144,140,140,136.5
20260526T133500Z,136,136,4323,P,137,2720,C,135,8399,P,140,136,137.0133,144,140,140,136.5
20260526T163000Z,136,136,4323,P,137,2720,C,135,8399,P,140,136,137.0133,144,140,140,136.5
20260526T195500Z,136,136,4323,P,137,2720,C,135,8399,P,140,136,137.0133,144,140,140,136.5
20260527T120000Z,135,135,2071,C,136,1175,C,134,996,C,138,130,132.0766,150,130,138,135.1
20260527T133500Z,135,135,2071,C,136,1175,C,134,996,C,138,130,132.0766,150,130,138,135.1
20260527T163000Z,135,135,2071,C,136,1175,C,134,996,C,138,130,132.0766,150,130,138,135.1
20260527T195500Z,135,135,2071,C,136,1175,C,134,996,C,138,130,132.0766,150,130,138,135.1
20260528T120000Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0192,141,136,136,133.85
20260528T133500Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
20260528T163000Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
20260528T195500Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
