t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260519T163000Z,160,160,1585,C,162.5,939,C,157.5,515,C,165,149,149.0264,157.5,165,165,160.42
20260519T195500Z,160,160,1585,C,162.5,939,C,157.5,515,C,165,149,149.0264,157.5,165,165,160.42
20260520T195500Z,162.5,162.5,1165,C,160,2254,C,165,1965,C,162.5,160,161.7178,155,165,170,161.28
20260521T120000Z,162.5,162.5,1165,C,160,2254,C,165,1965,C,162.5,160,161.7178,155,165,170,161.28
20260526T120000Z,152.5,152.5,1533,P,155,2528,C,150,4360,P,157.5,152.5,153.1991,160,150,157.5,152.965
20260526T133500Z,152.5,152.5,1533,P,155,2528,C,150,4360,P,157.5,152.5,153.1991,160,150,157.5,152.965
20260526T163000Z,152.5,152.5,1533,P,155,2528,C,150,4360,P,157.5,152.5,153.1991,160,150,157.5,152.965
20260526T195500Z,152.5,152.5,1533,P,155,2528,C,150,4360,P,157.5,152.5,153.1991,160,150,157.5,152.965
20260527T120000Z,148,148,277,P,150,1418,P,145,661,P,157.5,148,155.8006,155,155,157.5,148.275
20260527T133500Z,148,148,277,P,150,1418,P,145,661,P,157.5,148,155.8006,155,155,157.5,148.275
20260527T163000Z,148,148,277,P,150,1418,P,145,661,P,157.5,148,155.8006,155,155,157.5,148.275
20260527T195500Z,148,148,277,P,150,1418,P,145,661,P,157.5,148,155.8006,155,155,157.5,148.275
20260528T120000Z,149,149,248,P,150,1876,C,148,418,P,150,146,149.166,155,155,152.5,149.15
20260528T133500Z,149,149,248,P,150,1876,C,148,418,P,150,146,149.166,155,155,152.5,149.15
20260528T163000Z,149,149,248,P,150,1876,C,148,418,P,150,146,149.166,155,155,152.5,149.15
20260528T195500Z,149,149,248,P,150,1876,C,148,418,P,150,146,149.166,155,155,152.5,149.15
20260601T120000Z,146,146,665,P,147,380,P,145,909,P,150,146,149.0174,155,150,150,146.45
20260601T133500Z,146,146,665,P,147,380,P,145,909,P,150,146,149.0174,155,150,150,146.45
20260601T163000Z,146,146,665,P,147,380,P,145,909,P,150,146,149.0174,155,150,150,146.45
20260601T195500Z,146,146,665,P,147,380,P,145,909,P,150,146,149.0174,155,150,150,146.45
20260608T120000Z,150,150,1671,P,152.5,1359,C,149,325,C,155,147,150.2799,147,155,155,151.06
20260608T133500Z,150,150,1671,P,152.5,1359,C,149,325,C,155,147,150.2799,147,155,155,151.06
20260608T195500Z,,,,,,,,,,,,,,75,,,151.705
20260609T120000Z,,,,,,,,,,,,,,50,,,152.31
20260609T133500Z,,,,,,,,,,,,,,50,,,152.31
20260609T163000Z,,,,,,,,,,,,,,50,,,148.27
20260609T195500Z,,,,,,,,,,,,,,50,,,148.535
20260610T120000Z,,,,,,,,,,,,,,50,,,151.85
20260610T133500Z,,,,,,,,,,,,,,50,,,76.2
20260610T163000Z,,,,,,,,,,,,,,50,,,151.635
20260616T195500Z,141,141,591,P,140,11738,P,142,2296,C,142,139,140.7649,152.5,145,185,140.85
20260617T133500Z,141,141,797,P,140,11949,P,142,2920,C,142,137,140.1583,152.5,145,150,140.975
20260617T163000Z,141,141,797,P,142,2920,C,140,11949,P,142,137,140.1863,152.5,145,150,141.31
20260618T120000Z,120,120,9441,P,125,17144,P,115,4604,P,142,105,130.9876,152.5,125,135,120.75
20260618T133500Z,140,140,11639,P,139,1891,P,141,892,P,145,110,140.0394,155,145,135,139.895
